BJD_Code,year,day,type,acid,phosphate,silicate,OM,Mg,K,Ca,EC,jibun
5013032024,2020,20200618,2,6,10,NA,178,1,0.25,1.9,0.3,제주특별자치도 서귀포시 표선면 가시리 87-12
5013032024,2020,20200618,2,6,10,NA,178,1,0.27,2.1,0.27,제주특별자치도 서귀포시 표선면 가시리 87-16
5013032024,2020,20200618,2,5.9,10,NA,191,1.6,0.33,3.1,0.44,제주특별자치도 서귀포시 표선면 가시리 87-23
5013032024,2020,20200618,2,6,10,NA,186,1.6,0.34,3.2,0.41,제주특별자치도 서귀포시 표선면 가시리 87-29
5013032024,2020,20200618,2,5.8,10,NA,244,0.8,0.11,1.1,0.46,제주특별자치도 서귀포시 표선면 가시리 87-3
5013032024,2020,20200618,2,5.8,10,NA,224,1.3,0.22,2.2,0.45,제주특별자치도 서귀포시 표선면 가시리 87-30
5013032024,2020,20200618,2,5.8,10,NA,244,0.8,0.11,1.1,0.48,제주특별자치도 서귀포시 표선면 가시리 87-32
5013032024,2020,20200618,2,6.1,10,NA,176,1.9,0.38,3.8,0.45,제주특별자치도 서귀포시 표선면 가시리 87-4
5013032024,2020,20200618,2,6.3,10,NA,150,2.7,0.57,6,0.44,제주특별자치도 서귀포시 표선면 가시리 87-6
5013032024,2020,20200618,2,6.4,10,NA,177,1.5,0.34,3.6,0.4,제주특별자치도 서귀포시 표선면 가시리 89-1
5013032024,2020,20200618,2,6.4,10,NA,164,1.3,0.28,2.9,0.27,제주특별자치도 서귀포시 표선면 가시리 89-2
5013032024,2020,20200618,2,6.1,10,NA,179,1.6,0.34,3.5,0.44,제주특별자치도 서귀포시 표선면 가시리 92
5013032024,2020,20200820,2,6.2,10,NA,161,0.1,0.09,1.1,0.25,제주특별자치도 서귀포시 표선면 가시리 841
5013032024,2020,20201111,2,5.4,10,NA,176,0.5,0.37,1.3,0.27,제주특별자치도 서귀포시 표선면 가시리 70
5013032024,2020,20201111,2,5.4,10,NA,201,0.4,0.23,0.8,0.22,제주특별자치도 서귀포시 표선면 가시리 71
5013032024,2020,20201111,2,5.6,10,NA,189,0.4,0.2,0.8,0.22,제주특별자치도 서귀포시 표선면 가시리 3717
5013032024,2020,20201111,2,5.5,10,NA,193,0.4,0.21,0.8,0.23,제주특별자치도 서귀포시 표선면 가시리 3718
5013032024,2020,20201208,2,5.8,173,NA,249,4.2,3.56,5.1,1.93,제주특별자치도 서귀포시 표선면 가시리 1540
5013032024,2020,20201208,2,6.2,245,NA,254,3.9,4.79,3.9,1.37,제주특별자치도 서귀포시 표선면 가시리 1540-1
5013032024,2020,20201208,2,5.7,52,NA,257,1.5,0.52,3.2,0.3,제주특별자치도 서귀포시 표선면 가시리 1538
5013032024,2020,20201208,2,5.9,252,NA,286,3.7,1.94,6.3,0.85,제주특별자치도 서귀포시 표선면 가시리 1538-1
5013032024,2020,20201208,2,6.3,54,NA,184,1.8,0.94,3.5,0.21,제주특별자치도 서귀포시 표선면 가시리 1538-1
5013032024,2020,20200925,2,5.6,77,NA,155,0.7,0.64,2.1,0.3,제주특별자치도 서귀포시 표선면 가시리 1113
5013032024,2020,20200925,2,5.6,64,NA,147,0.8,0.71,2.2,0.39,제주특별자치도 서귀포시 표선면 가시리 1163
5013032024,2020,20200925,2,5.6,69,NA,134,1,0.83,2.6,0.32,제주특별자치도 서귀포시 표선면 가시리 1200
5013032024,2020,20200925,2,5.6,66,NA,143,0.9,0.77,2.9,0.37,제주특별자치도 서귀포시 표선면 가시리 1167-1
5013032024,2020,20200925,2,5.7,56,NA,155,0.9,0.85,2.7,0.35,제주특별자치도 서귀포시 표선면 가시리 1154
5013032024,2020,20200925,2,5.6,51,NA,156,1.1,0.88,2.7,0.41,제주특별자치도 서귀포시 표선면 가시리 1189
5013032024,2020,20200925,2,5.5,60,NA,159,1.1,0.84,2.7,0.37,제주특별자치도 서귀포시 표선면 가시리 2724-5
5013032024,2020,20200925,2,5.4,65,NA,142,0.9,0.71,2.3,0.37,제주특별자치도 서귀포시 표선면 가시리 1200-1
5013032024,2020,20200925,2,5.6,60,NA,151,0.9,0.78,2.5,0.32,제주특별자치도 서귀포시 표선면 가시리 1196
5013032024,2020,20200925,2,5.7,67,NA,144,0.9,0.67,2,0.35,제주특별자치도 서귀포시 표선면 가시리 1200-1
5013032024,2020,20200925,2,5.8,66,NA,147,1,0.76,2.6,0.34,제주특별자치도 서귀포시 표선면 가시리 3477
5013032024,2020,20200925,2,5.7,66,NA,145,0.8,0.77,2.2,0.29,제주특별자치도 서귀포시 표선면 가시리 3477
5013032024,2020,20200925,2,5.6,65,NA,151,1,0.78,2.1,0.34,제주특별자치도 서귀포시 표선면 가시리 1157
5013032024,2020,20200925,2,5.6,60,NA,156,0.9,0.85,2.5,0.36,제주특별자치도 서귀포시 표선면 가시리 1146
5013032024,2020,20200925,2,5.6,59,NA,145,1,0.84,2.6,0.37,제주특별자치도 서귀포시 표선면 가시리 1114-2
5013032024,2020,20200925,2,5.6,61,NA,138,0.9,0.73,2.3,0.28,제주특별자치도 서귀포시 표선면 가시리 1114-4
5013032024,2020,20200925,2,5.5,57,NA,151,0.9,0.76,2.4,0.31,제주특별자치도 서귀포시 표선면 가시리 1114-5
5013032024,2020,20201008,2,5.5,58,NA,155,1.3,0.81,3.3,0.47,제주특별자치도 서귀포시 표선면 가시리 1185
