,code,year,month,day,type,acid,phosphate,OM,Mg,K,Ca,EC,ymd,cnt,longitude,latitude
128,5011025021,2021,10,28,2,6.7,689,28,2.8,0.99,11.1,1.4,10/28/2021,1,126.2968755,33.44388924
129,5011025021,2021,10,13,2,7,491,30,4,1.3,9.9,1.15,10/13/2021,1,126.3012652,33.41828606
130,5011025021,2021,6,21,2,7.3,283,36,2.3,1.19,10.5,0.3,6/21/2021,1,126.2877702,33.42091741
131,5011025021,2021,7,1,2,4.8,376,35,1.2,1.08,1.7,0.3,7/1/2021,1,126.2849305,33.43799516
132,5011025021,2021,7,1,2,5.1,624,26,1,0.99,1.6,0.3,7/1/2021,1,126.2841975,33.44170943
133,5011025021,2021,7,1,2,4.5,301,32,1.4,1.32,2.6,0.6,7/1/2021,1,126.2844126,33.43930723
134,5011025021,2021,7,26,2,6.7,703,93,3.2,0.69,4.3,0.3,7/26/2021,1,126.2774419,33.43728756
135,5011025021,2021,8,9,2,6.8,155,14,5,0.44,5.2,0.2,8/9/2021,1,126.2804331,33.44094573
136,5011025021,2021,8,9,2,5.3,443,16,2.6,0.46,2.9,0.4,8/9/2021,1,126.283147,33.43875572
137,5011025021,2021,8,9,2,6.3,1369,34,4.2,0.68,6.1,0.5,8/9/2021,1,126.2767816,33.43620334
138,5011025021,2021,11,2,2,6.7,64,23,2.4,0.61,3.7,0.75,11/2/2021,1,126.2862827,33.43137755
139,5011025021,2021,8,4,3,6.6,1360,68,4.9,2.75,12.1,1.9,8/4/2021,1,126.2989985,33.44331793
140,5011025021,2021,1,29,2,5.4,873,26,2.3,1.93,2.2,0.3,1/29/2021,1,126.2815095,33.43153771
141,5011025021,2021,2,8,2,6.4,437,44,0.9,0.4,3,0.4,2/8/2021,1,126.2908678,33.41618676
142,5011025021,2021,2,8,2,6.4,355,47,1.2,0.56,3.6,0.2,2/8/2021,1,126.2907339,33.41588018
143,5011025021,2021,3,2,2,6.6,2395,32,1.7,1.71,4.1,0.4,3/2/2021,1,126.2888562,33.43376342
144,5011025021,2021,3,2,2,6.5,1318,30,1.5,1.58,3.5,0.3,3/2/2021,1,126.2886566,33.43437391
145,5011025021,2021,4,22,2,6.7,1268,73,1.6,1.74,14.5,4,4/22/2021,1,126.2989168,33.42240389
146,5011025021,2021,5,21,2,6.8,853,49,0.9,0.48,9.4,0.5,5/21/2021,1,126.2932176,33.42526222
147,5011025021,2021,5,21,2,6.6,884,36,1.1,0.5,6.8,0.5,5/21/2021,1,126.287967,33.42043565
148,5011025021,2021,5,21,2,6.9,633,47,1.3,0.56,6.9,0.4,5/21/2021,1,126.2884138,33.42134738
149,5011025021,2021,5,21,2,6.4,985,56,1.4,0.66,4.4,0.7,5/21/2021,1,126.288884,33.4195331
150,5011025021,2021,5,21,2,5.9,739,36,0.5,0.36,3.2,0.3,5/21/2021,1,126.2867296,33.42709939
151,5011025021,2021,5,21,2,4.9,552,39,0.6,0.24,3.2,2,5/21/2021,1,126.2907752,33.42656613
152,5011025021,2021,6,17,2,5.9,711,21,1.6,1.09,5,0.3,6/17/2021,1,126.2897464,33.4247494
153,5011025021,2021,7,23,2,4.5,1278,36,0.4,0.66,0.8,0.9,7/23/2021,1,126.2973029,33.44023519
154,5011025021,2021,3,2,3,7.1,1169,39,1.7,1.63,6.5,0.4,3/2/2021,1,126.2891975,33.43373617
155,5011025021,2021,1,22,4,7.1,1060,78,1.3,1.46,18.4,1.7,1/22/2021,1,126.2989168,33.42240389
156,5011025021,2021,1,22,4,7,386,41,0.9,0.44,7.7,1.6,1/22/2021,1,126.298141,33.42246784
157,5011025021,2022,8,4,2,6.6,384,29,1.2,0.6,3.3,0.41,8/4/2022,1,126.2934346,33.42997804
158,5011025021,2022,2,11,2,6.9,649,24,2.5,1.03,6.4,1.43,2/11/2022,1,126.2888562,33.43376342
159,5011025021,2022,2,7,2,6.4,510,28,2.2,0.7,7.3,1.7,2/7/2022,1,126.2975827,33.44244485
160,5011025021,2022,2,7,2,7.1,516,25,2.2,1.15,9.3,1.43,2/7/2022,1,126.2972119,33.44312841
161,5011025021,2022,2,7,2,7.2,595,26,2.5,1.42,12.2,1.55,2/7/2022,1,126.2973507,33.44286818
162,5011025021,2022,2,7,2,6.7,901,28,1.6,1.31,6.4,1.79,2/7/2022,1,126.2981278,33.44217467
163,5011025021,2022,3,15,2,5,318,43,1,0.41,5.7,0.98,3/15/2022,1,126.2908678,33.41618676
164,5011025021,2022,3,15,2,5.2,295,43,1.3,0.69,5.3,1.21,3/15/2022,1,126.2907339,33.41588018
165,5011025021,2022,7,19,2,6.7,1123,43,3.7,1.69,7.5,0.67,7/19/2022,1,126.2932176,33.42526222
166,5011025021,2022,7,19,2,4.8,929,27,1.2,0.99,3.2,1.89,7/19/2022,1,126.2867296,33.42709939
167,5011025021,2022,9,1,2,7.9,177,18,2.8,0.81,12.4,0.56,9/1/2022,1,126.297787,33.42894231
168,5011025021,2022,10,19,2,5.2,613,31,1.1,1.09,4.3,1.45,10/19/2022,1,126.2976347,33.42425544
169,5011025021,2022,10,19,2,5.9,453,32,2.1,1.31,5.9,2.3,10/19/2022,1,126.2949349,33.43203949
170,5011025021,2022,10,19,2,6.7,501,33,1.9,1.05,8.3,1.23,10/19/2022,1,126.2999116,33.43053075
171,5011025021,2022,10,19,2,6,645,27,1.4,0.86,4.8,0.54,10/19/2022,1,126.2975254,33.43915806
172,5011025021,2022,10,19,2,5.8,738,27,2.4,0.98,3.9,1,10/19/2022,1,126.297903,33.44160819
173,5011025021,2022,10,19,2,6.2,652,27,1.8,0.85,5.8,1,10/19/2022,1,126.2937756,33.43765771
174,5011025021,2022,11,1,2,5.3,493,35,1.1,0.63,5.3,1.13,11/1/2022,1,126.2905647,33.41550397
175,5011025021,2022,11,11,2,5.2,526,38,1.6,1.07,4,0.5,11/11/2022,1,126.2962585,33.425133
176,5011025021,2022,11,11,2,6.7,920,31,2.7,1.27,7.5,0.43,11/11/2022,1,126.2968755,33.44388924
177,5011025021,2022,7,29,3,5.9,602,34,4.9,2.84,8.2,9.05,7/29/2022,1,126.2989985,33.44331793
178,5011025021,2022,2,11,2,6.6,593,28,3,1.13,7.1,1.9,2/11/2022,1,126.2823616,33.44072565
179,5011025021,2022,7,5,2,4.7,511,19,1.2,1.1,4,0.52,7/5/2022,1,126.2841975,33.44170943
180,5011025021,2022,7,5,2,4.2,786,22,0.9,0.95,2.5,1.13,7/5/2022,1,126.2846649,33.4401889
181,5011025021,2022,7,5,2,5.1,632,23,1.7,1.18,4.6,0.55,7/5/2022,1,126.2844126,33.43930723
182,5011025021,2022,7,19,2,7.4,403,17,2.3,0.63,9.2,0.63,7/19/2022,1,126.2837678,33.43479017
183,5011025021,2022,7,19,2,6.2,180,12,3.5,0.36,6,0.54,7/19/2022,1,126.2845078,33.43564653
184,5011025021,2022,7,19,2,5.9,1084,34,2.3,1.48,4.4,0.4,7/19/2022,1,126.2768985,33.43641256
185,5011025021,2022,7,19,2,7.1,355,24,3.1,0.97,8.1,0.54,7/19/2022,1,126.2842431,33.43505518
186,5011025021,2022,7,19,2,5.2,446,23,1.9,0.61,3.5,0.46,7/19/2022,1,126.2824352,33.43118369
187,5011025021,2022,7,19,2,6.7,1390,46,3.9,1.82,7.7,0.69,7/19/2022,1,126.297705,33.43160369
188,5011025021,2022,7,19,2,7.2,871,34,4.2,0.84,7.1,0.49,7/19/2022,1,126.2877702,33.42091741
189,5011025021,2022,7,19,2,7.6,1016,25,3.1,1.12,8.4,0.53,7/19/2022,1,126.287967,33.42043565
190,5011025021,2022,7,19,2,6.6,1037,38,3.6,1.24,5.7,0.73,7/19/2022,1,126.288884,33.4195331
191,5011025021,2022,8,11,2,7,886,20,3.8,2.14,21.4,0.41,8/11/2022,1,126.2774419,33.43728756
192,5011025021,2022,9,22,2,5.4,570,26,1.2,1.63,2,1.67,9/22/2022,1,126.2849305,33.43799516
193,5011025021,2022,10,6,2,6.2,797,37,2.6,2.18,8,2.25,10/6/2022,1,126.3027751,33.42481359
194,5011025021,2022,11,15,4,5.8,77,20,1.8,0.17,2.9,0.15,11/15/2022,1,126.2862827,33.43137755
195,5011025021,2022,7,19,2,6.7,1123,43,3.7,1.69,7.5,0.67,7/19/2022,1,126.2932176,33.42526222
196,5011025021,2022,7,19,2,6.7,1390,46,3.9,1.82,7.7,0.69,7/19/2022,1,126.297705,33.43160369
197,5011025021,2022,7,19,2,7.2,871,34,4.2,0.84,7.1,0.49,7/19/2022,1,126.2877702,33.42091741
198,5011025021,2022,7,19,2,7.6,1016,25,3.1,1.12,8.4,0.53,7/19/2022,1,126.287967,33.42043565
199,5011025021,2022,7,19,2,6.6,1037,38,3.6,1.24,5.7,0.73,7/19/2022,1,126.288884,33.4195331
200,5011025021,2022,7,19,2,4.8,929,27,1.2,0.99,3.2,1.89,7/19/2022,1,126.2867296,33.42709939
201,5011025021,2022,6,30,3,5.6,774,45,1.6,1.15,7.3,1,6/30/2022,1,126.291712,33.42097866
202,5011025021,2022,6,30,3,6.3,239,45,1.9,0.66,6.8,0.49,6/30/2022,1,126.2913045,33.42085155
203,5011025021,2022,6,30,3,5.8,579,36,2,1.25,6.1,0.64,6/30/2022,1,126.2918,33.42070778
204,5011025021,2022,6,30,3,5.6,527,32,1.9,1.38,5.9,0.58,6/30/2022,1,126.2913956,33.42060801
205,5011025021,2022,6,30,3,6.1,448,37,2,1.38,7.5,0.57,6/30/2022,1,126.29188,33.4202588
206,5011025021,2022,6,30,3,5.5,724,47,1.4,1.2,6.2,0.87,6/30/2022,1,126.2917635,33.42042664
207,5011025021,2022,1,5,2,7.1,446,27,1.5,0.6,7.3,1.17,1/5/2022,1,126.2894493,33.41909105
208,5011025021,2022,1,13,2,5.2,438,22,1.6,1.26,7.2,1.2,1/13/2022,1,126.2939696,33.42575606
209,5011025021,2022,1,13,2,5.7,219,24,1.3,1.73,7.5,2.39,1/13/2022,1,126.2942858,33.42699484
210,5011025021,2022,1,13,2,5.2,731,27,1.3,1.58,7.7,1.46,1/13/2022,1,126.2934722,33.42562124
211,5011025021,2022,2,4,2,6.8,510,46,2.9,2.08,9.1,1.36,2/4/2022,1,126.2995592,33.42173863
212,5011025021,2022,2,4,2,5.6,811,35,1.7,0.74,3.2,0.97,2/4/2022,1,126.2987133,33.42167029
213,5011025021,2022,4,5,2,5.2,798,26,1.2,1.04,2.7,1.46,4/5/2022,1,126.3028356,33.42532206
214,5011025021,2022,5,26,2,5.6,977,43,1.3,0.93,3.7,0.85,5/26/2022,1,126.2897464,33.4247494
215,5011025021,2022,6,7,2,5.7,846,23,2.2,1.59,4.9,1.57,6/7/2022,1,126.2886868,33.43509932
216,5011025021,2022,8,9,2,6,667,20,2.3,1.51,5.1,0.38,8/9/2022,1,126.2980626,33.42448795
217,5011025021,2022,9,1,2,6.1,129,51,2.9,1.2,7.1,0.51,9/1/2022,1,126.2976811,33.42751152
218,5011025021,2022,9,1,2,5.6,605,16,2.3,1.34,4.1,0.74,9/1/2022,1,126.300761,33.43082603
219,5011025021,2022,9,1,2,5.6,1000,6,1.5,0.95,3,0.48,9/1/2022,1,126.2815756,33.43519465
220,5011025021,2022,9,1,2,4.6,823,29,1.2,1.11,1.9,2.08,9/1/2022,1,126.2956977,33.42692344
221,5011025021,2022,9,1,2,4.7,752,16,1.3,1.02,2.4,1.29,9/1/2022,1,126.2982813,33.43582251
222,5011025021,2022,10,19,2,5.2,840,29,1.6,1.52,3.2,3.03,10/19/2022,1,126.2993591,33.42176482
223,5011025021,2022,10,25,2,4.5,599,18,1,1.36,2.8,1.43,10/25/2022,1,126.2906216,33.43636487
224,5011025021,2022,11,17,2,4.2,438,30,0.8,0.63,1.8,1.72,11/17/2022,1,126.3006621,33.42185953
225,5011025021,2022,11,17,2,5,408,22,1.5,1.39,4.4,1.51,11/17/2022,1,126.3006621,33.42185953
226,5011025021,2022,1,13,3,5.6,849,54,3,1.6,7.9,1.22,1/13/2022,1,126.2912353,33.42305121
